Subject,Resort,Split,Income,House,Income2,ses,Edu,Thought,tradeoff,location
1,0,0,0,2,5000,3535.533906,2,2,1,0
3,0,0,3,4,35000,17500,1,3,0,0
5,0,0,3,2,35000,24748.73734,4,3,0,0
6,1,1,6,3,65000,37527.7675,5,4,0,0
7,0,1,5,2,55000,38890.87297,3,2,1,0
8,1,0,2,2,25000,17677.66953,2,2,1,0
9,0,0,2,2,25000,17677.66953,2,1,0,0
10,1,1,5,2,55000,38890.87297,4,0,0,1
12,1,0,1,4,15000,7500,6,0,0,1
14,1,1,8,3,85000,49074.77288,2,1,0,0
15,0,1,6,4,65000,32500,4,0,0,1
16,1,1,10,2,125000,88388.34765,4,0,0,1
17,0,1,4,2,45000,31819.80515,1,1,0,0
18,1,0,2,2,25000,17677.66953,2,2,1,0
20,1,0,2,1,25000,25000,5,2,1,0
21,0,0,3,4,35000,17500,6,2,1,0
22,1,0,3,2,35000,24748.73734,5,0,0,1
23,0,1,9,2,95000,67175.14421,6,0,0,1
24,1,0,1,1,15000,15000,4,2,1,0
25,0,0,1,2,15000,10606.60172,3,2,1,0
27,0,0,1,1,15000,15000,2,1,0,0
28,1,0,2,2,25000,17677.66953,2,2,1,0
29,0,0,1,3,15000,8660.254038,4,2,1,0
30,1,0,0,1,5000,5000,2,1,0,0
31,0,1,4,3,45000,25980.76211,4,3,0,0
33,0,1,9,5,95000,42485.29157,1,1,0,0
35,0,0,2,2,25000,17677.66953,1,2,1,0
36,1,0,2,3,25000,14433.75673,5,0,0,1
37,0,1,5,2,55000,38890.87297,6,3,0,0
38,1,0,3,5,35000,15652.47584,1,1,0,0
39,0,0,1,7,15000,5669.467095,2,1,0,0
41,0,1,8,3,85000,49074.77288,6,3,0,0
42,1,0,2,1,25000,25000,4,3,0,0
43,0,0,2,4,25000,12500,4,1,0,0
44,1,0,2,4,25000,12500,2,3,0,0
45,0,0,1,2,15000,10606.60172,2,2,1,0
46,1,0,3,3,35000,20207.25942,5,1,0,0
49,0,0,3,2,35000,24748.73734,1,2,1,0
50,1,0,3,2,35000,24748.73734,4,0,0,1
51,0,1,5,2,55000,38890.87297,2,1,0,0
52,1,1,9,4,95000,47500,2,2,1,0
53,0,0,3,3,35000,20207.25942,4,1,0,0
54,1,1,4,5,45000,20124.6118,4,2,1,0
55,0,0,1,2,15000,10606.60172,5,0,0,1
56,1,0,1,2,15000,10606.60172,2,2,1,0
58,1,0,2,2,25000,17677.66953,2,2,1,0
59,0,1,7,2,75000,53033.00859,3,2,1,0
60,1,1,4,4,45000,22500,1,1,0,0
61,0,1,10,3,125000,72168.78365,6,0,0,1
62,1,0,3,2,35000,24748.73734,2,3,0,0
63,0,1,8,3,85000,49074.77288,4,4,0,0
64,1,1,5,4,55000,27500,1,4,0,0
65,0,0,2,1,25000,25000,2,3,0,0
66,1,0,2,1,25000,25000,1,4,0,0
67,0,1,5,3,55000,31754.26481,4,2,1,0
68,1,0,3,2,35000,24748.73734,5,1,0,0
69,0,0,2,3,25000,14433.75673,4,1,0,0
70,1,1,5,2,55000,38890.87297,4,0,0,1
71,0,0,2,2,25000,17677.66953,3,2,1,0
72,1,1,6,2,65000,45961.94078,6,2,1,0
73,0,0,2,2,25000,17677.66953,2,2,1,0
74,1,1,8,4,85000,42500,2,0,0,1
75,0,0,3,1,35000,35000,4,0,0,1
76,1,1,4,2,45000,31819.80515,2,2,1,0
77,0,1,7,1,75000,75000,4,1,0,0
78,1,0,2,4,25000,12500,2,2,1,0
79,0,0,0,1,5000,5000,2,1,0,0
80,1,1,9,4,95000,47500,2,2,1,0
81,0,0,1,2,15000,10606.60172,2,2,1,0
82,1,0,3,2,35000,24748.73734,1,0,0,1
83,0,1,7,4,75000,37500,2,2,1,0
84,1,0,0,3,5000,2886.751346,2,1,0,0
85,0,0,3,4,35000,17500,4,2,1,0
86,1,1,6,3,65000,37527.7675,2,1,0,0
87,0,1,6,5,65000,29068.88371,1,2,1,0
88,1,0,3,1,35000,35000,5,1,0,0
89,0,1,4,4,45000,22500,2,2,1,0
90,1,0,2,4,25000,12500,4,2,1,0
92,1,0,1,2,15000,10606.60172,2,2,1,0
93,0,1,10,6,125000,51031.03631,4,3,0,0
94,1,1,5,4,55000,27500,4,2,1,0
95,0,1,10,4,125000,62500,2,3,0,0
96,1,0,1,6,15000,6123.724357,3,2,1,0
97,0,0,1,3,15000,8660.254038,3,3,0,0
98,1,1,8,2,85000,60104.0764,4,1,0,0
99,0,0,1,1,15000,15000,2,1,0,0
100,1,1,9,5,95000,42485.29157,1,0,0,1
102,1,1,9,4,95000,47500,2,3,0,0
103,0,1,7,4,75000,37500,2,3,0,0
104,1,1,6,4,65000,32500,4,0,0,1
105,0,0,1,3,15000,8660.254038,4,3,0,0
106,1,1,7,3,75000,43301.27019,4,1,0,0
107,0,1,6,2,65000,45961.94078,2,2,1,0
108,1,1,7,6,75000,30618.62178,2,1,0,0
109,0,1,4,3,45000,25980.76211,4,3,0,0
110,1,1,4,4,45000,22500,2,0,0,1
111,0,1,7,2,75000,53033.00859,4,2,1,0
112,1,1,10,3,125000,72168.78365,4,0,0,1
113,0,0,3,2,35000,24748.73734,1,3,0,0
114,1,0,2,2,25000,17677.66953,3,2,1,0
115,0,1,6,5,65000,29068.88371,2,2,1,0
116,1,1,6,2,65000,45961.94078,3,0,0,1
118,1,1,8,4,85000,42500,2,0,0,1
